"","year","term"
"109755",1988,"jazz"
"109763",1988,"pop"
"109764",1988,"hip hop"
"109774",1988,"indie"
"109788",1988,"rock"
"109803",1999,"jazz"
"109811",1999,"pop"
"109812",1999,"hip hop"
"109822",1999,"indie"
"109836",1999,"rock"
"109851",1988,"jazz"
"109859",1988,"pop"
"109860",1988,"hip hop"
"109870",1988,"indie"
"109884",1988,"rock"
"109899",1997,"jazz"
"109907",1997,"pop"
"109908",1997,"hip hop"
"109918",1997,"indie"
"109932",1997,"rock"
"109947",2006,"jazz"
"109955",2006,"pop"
"109956",2006,"hip hop"
"109966",2006,"indie"
"109980",2006,"rock"
"109990",2008,"rock"
"109992",2008,"pop"
"109999",2008,"indie"
"110002",1999,"hip hop"
"110035",1990,"hip hop"
"110068",1997,"hip hop"
"110101",1989,"hip hop"
"110134",1992,"hip hop"
"110167",1990,"hip hop"
"110200",1990,"hip hop"
"110233",1997,"hip hop"
"110266",1990,"hip hop"
"110304",2008,"indie"
"110311",2008,"pop"
"110333",2008,"pop"
"110336",2008,"indie"
"110355",2008,"rock"
"110359",2008,"hip hop"
"110379",2000,"pop"
"110382",2000,"indie"
"110401",2000,"rock"
"110405",2000,"hip hop"
"110425",2003,"pop"
"110428",2003,"indie"
"110447",2003,"rock"
"110451",2003,"hip hop"
"110471",2000,"pop"
"110474",2000,"indie"
"110493",2000,"rock"
"110497",2000,"hip hop"
"110502",2004,"jazz"
"110514",2004,"pop"
"110529",2001,"pop"
"110549",2001,"jazz"
"110556",2001,"rock"
"110574",2009,"pop"
"110594",2009,"jazz"
"110601",2009,"rock"
"110619",2001,"pop"
"110639",2001,"jazz"
"110646",2001,"rock"
"110655",2001,"jazz"
"110676",2005,"rock"
"110700",2005,"rock"
"110721",2005,"hip hop"
"110737",2005,"rock"
"110746",2005,"pop"
"110747",2005,"jazz"
"110781",2001,"rock"
"110811",2007,"rock"
"110835",2007,"pop"
"110861",1992,"rock"
"110884",2009,"rock"
"110907",1992,"rock"
"110930",1992,"rock"
"110953",1992,"rock"
"110976",2009,"rock"
"110999",1992,"rock"
"111022",1990,"rock"
"111096",2005,"jazz"
"111120",1995,"jazz"
"111144",2005,"jazz"
"111167",2009,"indie"
"111170",2009,"pop"
"111230",2007,"pop"
"111240",2007,"hip hop"
"111247",2010,"pop"
"111281",2010,"rock"
"111288",1999,"pop"
"111322",1999,"rock"
"111329",1997,"pop"
"111363",1997,"rock"
"111370",2007,"pop"
"111404",2007,"rock"
"111412",2005,"jazz"
"111414",2005,"rock"
"111426",1970,"jazz"
"111428",1970,"rock"
"111455",1998,"rock"
"111470",1993,"pop"
"111477",1993,"rock"
"111505",1989,"pop"
"111512",1989,"rock"
"111540",2007,"rock"
"111547",1983,"jazz"
"111562",1983,"pop"
"111566",1983,"rock"
"111576",1988,"rock"
"111587",1988,"rock"
"111598",2005,"rock"
"111609",1994,"rock"
"111620",1985,"rock"
"111631",1985,"rock"
"111642",1996,"rock"
"111653",1992,"rock"
"111664",2005,"rock"
"111675",1996,"rock"
"111707",1973,"pop"
"111710",1973,"rock"
"111741",1986,"jazz"
"111743",1986,"rock"
"111746",1986,"hip hop"
"111750",1986,"pop"
"111768",2008,"jazz"
"111770",2008,"rock"
"111773",2008,"hip hop"
"111777",2008,"pop"
"111795",1993,"jazz"
"111797",1993,"rock"
"111800",1993,"hip hop"
"111804",1993,"pop"
"111822",1993,"jazz"
"111824",1993,"rock"
"111827",1993,"hip hop"
"111831",1993,"pop"
"111849",2004,"jazz"
"111851",2004,"rock"
"111854",2004,"hip hop"
"111858",2004,"pop"
"111876",1993,"jazz"
"111878",1993,"rock"
"111881",1993,"hip hop"
"111885",1993,"pop"
"111900",2005,"rock"
"111937",1996,"pop"
"111941",1996,"hip hop"
"111976",2000,"pop"
"111980",2000,"hip hop"
"112015",1994,"pop"
"112019",1994,"hip hop"
"112054",1994,"pop"
"112058",1994,"hip hop"
"112089",2008,"rock"
"112099",2008,"pop"
"112110",1982,"rock"
"112120",1982,"pop"
"112131",1982,"rock"
"112141",1982,"pop"
"112146",2009,"hip hop"
"112184",2004,"pop"
"112199",2004,"rock"
"112214",1989,"pop"
"112229",1989,"rock"
"112244",1989,"pop"
"112259",1989,"rock"
"112274",1991,"pop"
"112289",1991,"rock"
"112304",1997,"pop"
"112319",1997,"rock"
"112334",1997,"pop"
"112349",1997,"rock"
"112361",1993,"indie"
"112364",1993,"rock"
"112372",1993,"pop"
"112389",1993,"jazz"
"112394",1993,"hip hop"
"112414",2002,"hip hop"
"112419",2002,"rock"
"112424",2002,"indie"
"112440",2007,"pop"
"112447",2007,"indie"
"112463",2007,"rock"
"112480",2009,"rock"
"112481",2009,"indie"
"112486",2009,"pop"
"112496",2003,"pop"
"112499",2003,"rock"
"112519",1971,"jazz"
"112532",1971,"hip hop"
"112535",1971,"rock"
"112544",1971,"pop"
"112567",1990,"jazz"
"112580",1990,"hip hop"
"112583",1990,"rock"
"112592",1990,"pop"
"112629",1996,"pop"
"112640",1996,"jazz"
"112643",1996,"rock"
"112675",2005,"pop"
"112686",2005,"jazz"
"112689",2005,"rock"
"112721",2000,"pop"
"112732",2000,"jazz"
"112735",2000,"rock"
"112767",1959,"pop"
"112778",1959,"jazz"
"112781",1959,"rock"
"112813",1996,"pop"
"112824",1996,"jazz"
"112827",1996,"rock"
"112847",2008,"jazz"
"112855",2008,"indie"
"112856",2008,"rock"
"112866",2008,"pop"
"112876",2003,"hip hop"
"112888",2003,"pop"
"112902",2003,"rock"
"112920",2003,"hip hop"
"112932",2003,"pop"
"112946",2003,"rock"
"112961",1994,"jazz"
"112964",1994,"pop"
"112977",2000,"pop"
"112989",2000,"hip hop"
"113002",2004,"pop"
"113014",2004,"hip hop"
"113027",2004,"pop"
"113039",2004,"hip hop"
"113052",2000,"pop"
"113064",2000,"hip hop"
"113077",2000,"pop"
"113089",2000,"hip hop"
"113115",1929,"rock"
"113122",1929,"jazz"
"113157",1990,"rock"
"113164",1990,"jazz"
"113199",1934,"rock"
"113206",1934,"jazz"
"113241",1930,"rock"
"113248",1930,"jazz"
"113285",1993,"indie"
"113286",1993,"hip hop"
"113291",1993,"jazz"
"113300",2003,"hip hop"
"113302",2003,"pop"
"113304",2003,"rock"
"113309",2003,"indie"
"113318",2009,"hip hop"
"113320",2009,"pop"
"113322",2009,"rock"
"113327",2009,"indie"
"113336",2003,"hip hop"
"113338",2003,"pop"
"113340",2003,"rock"
"113345",2003,"indie"
"113354",2005,"hip hop"
"113356",2005,"pop"
"113358",2005,"rock"
"113363",2005,"indie"
"113371",1999,"pop"
"113378",1999,"rock"
"113385",1999,"hip hop"
"113388",2003,"pop"
"113395",2003,"rock"
"113402",2003,"hip hop"
"113405",1998,"pop"
"113412",1998,"rock"
"113419",1998,"hip hop"
"113422",2001,"pop"
"113429",2001,"rock"
"113436",2001,"hip hop"
"113439",1998,"pop"
"113446",1998,"rock"
"113453",1998,"hip hop"
"113466",2003,"jazz"
"113500",2000,"hip hop"
"113502",2000,"pop"
"113503",2000,"rock"
"113516",2000,"hip hop"
"113518",2000,"pop"
"113519",2000,"rock"
"113532",2000,"hip hop"
"113534",2000,"pop"
"113535",2000,"rock"
"113548",1998,"hip hop"
"113550",1998,"pop"
"113551",1998,"rock"
"113564",2000,"hip hop"
"113566",2000,"pop"
"113567",2000,"rock"
"113580",2004,"hip hop"
"113582",2004,"pop"
"113583",2004,"rock"
"113596",2009,"hip hop"
"113598",2009,"pop"
"113599",2009,"rock"
"113612",1999,"hip hop"
"113614",1999,"pop"
"113615",1999,"rock"
"113638",1970,"jazz"
"113642",1970,"rock"
"113659",1970,"hip hop"
"113664",1970,"pop"
"113679",1971,"jazz"
"113683",1971,"rock"
"113700",1971,"hip hop"
"113705",1971,"pop"
"113720",1970,"jazz"
"113724",1970,"rock"
"113741",1970,"hip hop"
"113746",1970,"pop"
"113764",2006,"pop"
"113782",2006,"hip hop"
"113800",2006,"pop"
"113818",2006,"hip hop"
"113836",2006,"pop"
"113854",2006,"hip hop"
"113873",2006,"indie"
"113879",1993,"jazz"
"113881",1993,"pop"
"113883",1993,"rock"
"113912",1992,"jazz"
"113914",1992,"pop"
"113916",1992,"rock"
"113945",1992,"jazz"
"113947",1992,"pop"
"113949",1992,"rock"
"113978",1996,"jazz"
"113980",1996,"pop"
"113982",1996,"rock"
"114011",1992,"jazz"
"114013",1992,"pop"
"114015",1992,"rock"
"114044",1999,"jazz"
"114046",1999,"pop"
"114048",1999,"rock"
"114077",1996,"jazz"
"114079",1996,"pop"
"114081",1996,"rock"
"114110",2006,"pop"
"114119",2006,"hip hop"
"114133",2006,"rock"
"114146",2006,"pop"
"114155",2006,"hip hop"
"114169",2006,"rock"
"114183",1996,"indie"
"114188",1996,"rock"
"114195",1996,"hip hop"
"114211",1996,"jazz"
"114227",1997,"indie"
"114232",1997,"rock"
"114239",1997,"hip hop"
"114255",1997,"jazz"
"114267",1992,"hip hop"
"114269",1992,"rock"
"114281",1992,"pop"
"114286",1992,"hip hop"
"114288",1992,"rock"
"114300",1992,"pop"
"114314",1994,"rock"
"114317",1994,"pop"
"114337",1994,"jazz"
"114354",2004,"rock"
"114376",1999,"pop"
"114377",1999,"jazz"
"114397",1986,"rock"
"114421",2003,"hip hop"
"114424",2003,"pop"
"114433",2003,"rock"
"114457",1997,"hip hop"
"114458",1997,"jazz"
"114470",1997,"rock"
"114472",1997,"pop"
"114498",2002,"jazz"
"114501",2002,"rock"
"114513",2002,"pop"
"114529",2007,"rock"
"114540",1992,"rock"
"114551",1992,"rock"
"114591",2005,"pop"
"114592",2005,"jazz"
"114637",1998,"pop"
"114638",1998,"jazz"
"114644",2007,"pop"
"114645",2007,"indie"
"114652",2007,"hip hop"
"114653",2007,"rock"
"114654",2007,"jazz"
"114688",2003,"pop"
"114690",2003,"hip hop"
"114700",2005,"indie"
"114702",2005,"jazz"
"114718",2005,"rock"
"114719",2005,"hip hop"
"114720",2005,"pop"
"114743",1999,"indie"
"114745",1999,"jazz"
"114761",1999,"rock"
"114762",1999,"hip hop"
"114763",1999,"pop"
"114786",1999,"indie"
"114788",1999,"jazz"
"114804",1999,"rock"
"114805",1999,"hip hop"
"114806",1999,"pop"
"114826",2010,"rock"
"114839",1966,"rock"
"114868",1966,"jazz"
"114871",1966,"pop"
"114878",1993,"rock"
"114901",2007,"pop"
"114903",2007,"hip hop"
"114912",1994,"pop"
"114914",1994,"hip hop"
"114923",2002,"pop"
"114925",2002,"hip hop"
"114966",2001,"rock"
"114967",2001,"pop"
"115006",1998,"rock"
"115007",1998,"pop"
"115046",1999,"rock"
"115047",1999,"pop"
"115052",2006,"pop"
"115062",1978,"jazz"
"115089",2007,"indie"
"115091",2007,"rock"
"115099",1999,"rock"
"115108",1999,"hip hop"
"115138",2001,"jazz"
"115154",2001,"rock"
"115178",1994,"jazz"
"115194",1994,"rock"
"115218",1994,"jazz"
"115234",1994,"rock"
"115258",1983,"jazz"
"115274",1983,"rock"
"115316",1997,"rock"
"115322",1997,"pop"
"115345",1995,"jazz"
"115347",1995,"rock"
"115351",1995,"pop"
"115367",2005,"hip hop"
"115369",2005,"indie"
"115370",2005,"jazz"
"115378",2005,"rock"
"115405",2005,"hip hop"
"115407",2005,"indie"
"115408",2005,"jazz"
"115416",2005,"rock"
"115443",2004,"hip hop"
"115445",2004,"indie"
"115446",2004,"jazz"
"115454",2004,"rock"
"115481",2007,"hip hop"
"115483",2007,"indie"
"115484",2007,"jazz"
"115492",2007,"rock"
"115519",2009,"hip hop"
"115521",2009,"indie"
"115522",2009,"jazz"
"115530",2009,"rock"
"115557",2007,"hip hop"
"115559",2007,"indie"
"115560",2007,"jazz"
"115568",2007,"rock"
"115595",2007,"hip hop"
"115597",2007,"indie"
"115598",2007,"jazz"
"115606",2007,"rock"
"115632",1967,"hip hop"
"115643",1967,"jazz"
"115668",1998,"hip hop"
"115680",1998,"pop"
"115686",1998,"rock"
"115708",1997,"rock"
"115738",1992,"rock"
"115761",2009,"rock"
"115774",2009,"indie"
"115791",1999,"rock"
"115806",1999,"jazz"
"115807",1999,"pop"
"115826",1972,"rock"
"115838",1972,"jazz"
"115851",1972,"hip hop"
"115855",1972,"pop"
"115875",1974,"rock"
"115887",1974,"jazz"
"115900",1974,"hip hop"
"115904",1974,"pop"
"115920",2000,"rock"
"115939",2007,"rock"
"115961",1963,"pop"
"115967",1963,"rock"
"115984",1963,"jazz"
"115993",1967,"rock"
"115996",1967,"pop"
"116000",1967,"jazz"
"116015",2000,"jazz"
"116021",2000,"pop"
"116033",2000,"indie"
"116040",2000,"rock"
"116052",2000,"hip hop"
"116071",1999,"rock"
"116078",2009,"rock"
"116081",2009,"indie"
"116089",2006,"rock"
"116092",2006,"indie"
"116100",1996,"rock"
"116103",1996,"indie"
"116122",1973,"pop"
"116144",1973,"rock"
"116152",1973,"indie"
"116163",1997,"pop"
"116185",1997,"rock"
"116193",1997,"indie"
"116204",1985,"pop"
"116226",1985,"rock"
"116234",1985,"indie"
"116257",2005,"rock"
"116259",2005,"indie"
"116265",2005,"pop"
"116283",2003,"jazz"
"116291",2003,"hip hop"
"116305",2003,"pop"
"116335",2000,"jazz"
"116341",2000,"pop"
"116343",2000,"indie"
"116353",2000,"rock"
"116372",1981,"jazz"
"116378",1981,"pop"
"116380",1981,"indie"
"116390",1981,"rock"
"116409",2007,"jazz"
"116415",2007,"pop"
"116417",2007,"indie"
"116427",2007,"rock"
"116446",2009,"jazz"
"116452",2009,"pop"
"116454",2009,"indie"
"116464",2009,"rock"
"116483",1992,"jazz"
"116489",1992,"pop"
"116491",1992,"indie"
"116501",1992,"rock"
"116520",2004,"jazz"
"116526",2004,"pop"
"116528",2004,"indie"
"116538",2004,"rock"
"116551",1995,"jazz"
"116554",1995,"rock"
"116556",1995,"pop"
"116576",1999,"jazz"
"116579",1999,"rock"
"116581",1999,"pop"
"116597",1993,"pop"
"116617",2002,"pop"
"116637",1999,"pop"
"116659",2009,"rock"
"116673",2009,"pop"
"116683",1992,"rock"
"116697",1992,"pop"
"116707",1996,"rock"
"116721",1996,"pop"
"116731",1994,"rock"
"116745",1994,"pop"
"116755",1994,"rock"
"116769",1994,"pop"
"116779",2009,"rock"
"116793",2009,"pop"
"116797",2002,"rock"
"116827",2004,"rock"
"116833",2004,"pop"
"116836",2004,"hip hop"
"116848",2004,"jazz"
"116869",1999,"hip hop"
"116878",1999,"pop"
"116889",1991,"rock"
"116893",1991,"pop"
"116919",1991,"jazz"
"116929",2005,"rock"
"116933",2005,"pop"
"116959",2005,"jazz"
"116969",1995,"rock"
"116973",1995,"pop"
"116999",1995,"jazz"
"117010",2004,"jazz"
"117040",2004,"pop"
"117050",1997,"jazz"
"117080",1997,"pop"
"117090",1989,"jazz"
"117120",1989,"pop"
"117130",1991,"jazz"
"117160",1991,"pop"
"117174",1988,"rock"
"117191",1988,"hip hop"
"117198",1988,"pop"
"117208",1988,"jazz"
"117213",1988,"indie"
"117217",2009,"pop"
"117221",2009,"rock"
"117223",2009,"indie"
"117230",2003,"pop"
"117234",2003,"rock"
"117236",2003,"indie"
"117243",2001,"pop"
"117247",2001,"rock"
"117249",2001,"indie"
"117256",2008,"pop"
"117260",2008,"rock"
"117262",2008,"indie"
"117269",1999,"pop"
"117273",1999,"rock"
"117275",1999,"indie"
"117282",2003,"pop"
"117286",2003,"rock"
"117288",2003,"indie"
"117295",1998,"pop"
"117299",1998,"rock"
"117301",1998,"indie"
"117308",2009,"pop"
"117312",2009,"rock"
"117314",2009,"indie"
"117322",1981,"pop"
"117368",2005,"pop"
"117374",2005,"rock"
"117378",2005,"hip hop"
"117384",2000,"pop"
"117390",2000,"rock"
"117394",2000,"hip hop"
"117396",1990,"pop"
"117397",1990,"hip hop"
"117403",1990,"rock"
"117428",1980,"pop"
"117429",1980,"hip hop"
"117435",1980,"rock"
"117460",2001,"pop"
"117461",2001,"hip hop"
"117467",2001,"rock"
"117504",1993,"jazz"
"117506",1993,"indie"
"117512",1993,"rock"
"117542",1986,"pop"
"117551",1986,"rock"
"117555",1986,"jazz"
"117565",1991,"pop"
"117574",1991,"rock"
"117578",1991,"jazz"
"117588",1999,"pop"
"117597",1999,"rock"
"117601",1999,"jazz"
"117611",1988,"pop"
"117620",1988,"rock"
"117624",1988,"jazz"
"117634",1988,"pop"
"117643",1988,"rock"
"117647",1988,"jazz"
"117657",1991,"pop"
"117666",1991,"rock"
"117670",1991,"jazz"
"117697",2008,"rock"
"117704",2008,"pop"
"117715",2008,"jazz"
"117743",2000,"rock"
"117750",2000,"pop"
"117761",2000,"jazz"
"117766",2004,"rock"
"117781",1999,"rock"
"117796",1999,"rock"
"117810",2006,"rock"
"117816",2006,"indie"
"117828",2006,"hip hop"
"117829",2006,"pop"
"117835",2009,"rock"
"117851",2009,"pop"
"117858",2009,"rock"
"117874",2009,"pop"
"117881",2009,"rock"
"117897",2009,"pop"
"117904",2009,"rock"
"117920",2009,"pop"
"117926",2000,"pop"
"117931",2000,"hip hop"
"117938",2000,"pop"
"117943",2000,"hip hop"
"117950",2000,"pop"
"117955",2000,"hip hop"
"117962",2007,"pop"
"117967",2007,"hip hop"
"118015",1994,"rock"
"118017",1994,"jazz"
"118023",2006,"indie"
"118059",2006,"rock"
"118070",1997,"indie"
"118106",1997,"rock"
"118123",2009,"rock"
"118125",2009,"indie"
"118138",1995,"rock"
"118140",1995,"indie"
"118153",1994,"rock"
"118155",1994,"indie"
"118159",2007,"rock"
"118161",2007,"pop"
"118175",2007,"hip hop"
"118179",1995,"hip hop"
"118196",1995,"hip hop"
"118230",2000,"hip hop"
"118254",2000,"rock"
"118271",2004,"hip hop"
"118278",2004,"indie"
"118284",2004,"rock"
"118312",2000,"hip hop"
"118319",2000,"indie"
"118325",2000,"rock"
"118353",2004,"hip hop"
"118360",2004,"indie"
"118366",2004,"rock"
"118394",1999,"hip hop"
"118401",1999,"indie"
"118407",1999,"rock"
"118428",1975,"rock"
"118447",1975,"pop"
"118453",1975,"hip hop"
"118458",2005,"rock"
"118471",2005,"pop"
"118493",2006,"pop"
"118513",1993,"hip hop"
"118527",1993,"hip hop"
"118541",1993,"hip hop"
"118555",1994,"hip hop"
"118561",1991,"pop"
"118569",1991,"indie"
"118584",1991,"jazz"
"118588",1991,"rock"
"118597",1991,"hip hop"
"118606",1991,"pop"
"118614",1991,"indie"
"118629",1991,"jazz"
"118633",1991,"rock"
"118642",1991,"hip hop"
"118651",1998,"pop"
"118659",1998,"indie"
"118674",1998,"jazz"
"118678",1998,"rock"
"118687",1998,"hip hop"
"118696",1998,"pop"
"118704",1998,"indie"
"118719",1998,"jazz"
"118723",1998,"rock"
"118732",1998,"hip hop"
"118753",1996,"rock"
"118768",2009,"pop"
"118781",2009,"rock"
"118805",2001,"jazz"
"118827",2008,"indie"
"118851",2008,"rock"
"118871",2008,"indie"
"118895",2008,"rock"
"118899",1994,"rock"
"118923",1992,"rock"
"118947",2001,"rock"
"118971",1997,"rock"
"118996",1996,"indie"
"119002",1996,"rock"
"119005",1996,"pop"
"119048",2009,"rock"
"119074",1999,"jazz"
"119098",2008,"hip hop"
"119112",2010,"rock"
"119127",2010,"rock"
"119142",2009,"rock"
"119147",2004,"rock"
"119157",2004,"pop"
"119163",2004,"rock"
"119173",2004,"pop"
"119179",2006,"rock"
"119189",2006,"pop"
"119199",1993,"hip hop"
"119214",1965,"pop"
"119235",1965,"jazz"
"119251",1999,"rock"
"119268",1999,"hip hop"
"119273",1999,"pop"
"119283",1999,"indie"
"119285",1999,"jazz"
"119294",1999,"rock"
"119311",1999,"hip hop"
"119316",1999,"pop"
"119326",1999,"indie"
"119328",1999,"jazz"
"119337",2001,"rock"
"119354",2001,"hip hop"
"119359",2001,"pop"
"119369",2001,"indie"
"119371",2001,"jazz"
"119380",1999,"rock"
"119397",1999,"hip hop"
"119402",1999,"pop"
"119412",1999,"indie"
"119414",1999,"jazz"
"119423",2001,"rock"
"119440",2001,"hip hop"
"119445",2001,"pop"
"119455",2001,"indie"
"119457",2001,"jazz"
"119466",2004,"rock"
"119483",2004,"hip hop"
"119488",2004,"pop"
"119498",2004,"indie"
"119500",2004,"jazz"
"119509",1997,"rock"
"119526",1997,"hip hop"
"119531",1997,"pop"
"119541",1997,"indie"
"119543",1997,"jazz"
"119552",1999,"rock"
"119569",1999,"hip hop"
"119574",1999,"pop"
"119584",1999,"indie"
"119586",1999,"jazz"
"119614",2006,"rock"
"119623",2006,"indie"
"119629",2006,"rock"
"119634",2006,"pop"
"119643",2004,"indie"
"119649",2004,"rock"
"119654",2004,"pop"
"119663",2008,"indie"
"119669",2008,"rock"
"119674",2008,"pop"
"119683",2005,"indie"
"119689",2005,"rock"
"119694",2005,"pop"
"119703",2008,"indie"
"119709",2008,"rock"
"119714",2008,"pop"
"119734",2003,"pop"
"119745",2003,"rock"
"119772",2010,"pop"
"119783",2010,"rock"
"119846",2007,"rock"
"119887",2007,"rock"
"119920",1980,"pop"
"119937",1980,"indie"
"119941",1980,"hip hop"
"119944",1980,"jazz"
"119953",1980,"rock"
"119968",1983,"pop"
"119985",1983,"indie"
"119989",1983,"hip hop"
"119992",1983,"jazz"
"120001",1983,"rock"
"120016",1992,"pop"
"120033",1992,"indie"
"120037",1992,"hip hop"
"120040",1992,"jazz"
"120049",1992,"rock"
"120064",1982,"pop"
"120081",1982,"indie"
"120085",1982,"hip hop"
"120088",1982,"jazz"
"120097",1982,"rock"
"120112",1980,"pop"
"120129",1980,"indie"
"120133",1980,"hip hop"
"120136",1980,"jazz"
"120145",1980,"rock"
"120173",2000,"jazz"
"120178",2000,"rock"
"120184",2000,"pop"
"120207",2006,"jazz"
"120212",2006,"rock"
"120218",2006,"pop"
"120241",2002,"jazz"
"120246",2002,"rock"
"120252",2002,"pop"
"120275",2000,"jazz"
"120280",2000,"rock"
"120286",2000,"pop"
"120301",2003,"hip hop"
"120321",2003,"hip hop"
"120341",2005,"hip hop"
"120368",2008,"rock"
"120392",1974,"jazz"
"120395",1974,"hip hop"
"120396",1974,"rock"
"120426",1974,"jazz"
"120429",1974,"hip hop"
"120430",1974,"rock"
"120455",1986,"rock"
"120465",1986,"pop"
"120469",1986,"jazz"
"120479",1986,"indie"
"120492",1992,"rock"
"120502",1992,"pop"
"120506",1992,"jazz"
"120516",1992,"indie"
"120525",2006,"indie"
"120534",2006,"rock"
"120536",2006,"pop"
"120542",2004,"indie"
"120551",2004,"rock"
"120553",2004,"pop"
"120559",2009,"indie"
"120568",2009,"rock"
"120570",2009,"pop"
"120576",2006,"indie"
"120585",2006,"rock"
"120587",2006,"pop"
"120593",2006,"indie"
"120602",2006,"rock"
"120604",2006,"pop"
"120610",2009,"indie"
"120619",2009,"rock"
"120621",2009,"pop"
"120627",2006,"indie"
"120636",2006,"rock"
"120638",2006,"pop"
"120644",2003,"indie"
"120653",2003,"rock"
"120655",2003,"pop"
"120661",2003,"indie"
"120670",2003,"rock"
"120672",2003,"pop"
"120678",2003,"indie"
"120687",2003,"rock"
"120689",2003,"pop"
"120695",2009,"indie"
"120704",2009,"rock"
"120706",2009,"pop"
"120720",2008,"rock"
"120730",2008,"pop"
"120735",2001,"rock"
"120745",2001,"pop"
"120750",1998,"rock"
"120760",1998,"pop"
"120765",2002,"rock"
"120775",2002,"pop"
"120780",2005,"rock"
"120790",2005,"pop"
"120795",1999,"rock"
"120805",1999,"pop"
"120810",2007,"rock"
"120820",2007,"pop"
"120827",2001,"pop"
"120833",2001,"rock"
"120852",2001,"hip hop"
"120871",1989,"indie"
"120884",1989,"pop"
"120888",1989,"rock"
"120910",2008,"pop"
"120935",2008,"jazz"
"120952",2003,"indie"
"120958",2003,"rock"
"120986",1989,"rock"
"120989",1989,"jazz"
"121019",1989,"rock"
"121022",1989,"jazz"
"121031",1999,"pop"
"121033",1999,"rock"
"121042",1999,"indie"
"121054",2004,"jazz"
"121063",2004,"pop"
"121068",2004,"hip hop"
"121069",2004,"rock"
"121078",2004,"indie"
"121103",1967,"rock"
"121119",1967,"indie"
"121139",1967,"rock"
"121155",1967,"indie"
"121164",2007,"rock"
"121177",2005,"rock"
"121196",2008,"rock"
"121199",2008,"indie"
"121214",1998,"rock"
"121239",2006,"pop"
"121244",2006,"hip hop"
"121255",2006,"pop"
"121260",2006,"hip hop"
"121271",2002,"pop"
"121276",2002,"hip hop"
"121286",2005,"hip hop"
"121298",2005,"rock"
"121319",2005,"pop"
"121325",2005,"jazz"
"121335",2005,"hip hop"
"121347",2005,"rock"
"121368",2005,"pop"
"121374",2005,"jazz"
"121384",2003,"hip hop"
"121396",2003,"rock"
"121417",2003,"pop"
"121423",2003,"jazz"
"121433",2007,"hip hop"
"121445",2007,"rock"
"121466",2007,"pop"
"121472",2007,"jazz"
"121503",2004,"rock"
"121506",2004,"hip hop"
"121512",2004,"jazz"
"121523",2004,"pop"
"121533",2008,"pop"
"121540",2008,"indie"
"121545",2008,"rock"
"121552",2008,"hip hop"
"121560",2008,"indie"
"121561",2008,"rock"
"121571",2008,"jazz"
"121584",2008,"hip hop"
"121592",2008,"indie"
"121593",2008,"rock"
"121603",2008,"jazz"
"121627",2009,"rock"
"121630",2009,"jazz"
"121633",2009,"indie"
"121670",2009,"rock"
"121673",2009,"jazz"
"121676",2009,"indie"
"121698",2006,"rock"
"121716",2006,"pop"
"121725",2008,"pop"
"121731",2008,"rock"
"121734",2008,"indie"
"121755",1992,"hip hop"
"121784",1992,"hip hop"
"121794",1994,"pop"
"121797",1994,"rock"
"121802",1994,"jazz"
"121810",1976,"pop"
"121813",1976,"rock"
"121818",1976,"jazz"
"121832",1971,"jazz"
"121833",1971,"indie"
"121834",1971,"rock"
"121836",1971,"hip hop"
"121837",1971,"pop"
"121863",2007,"indie"
"121868",2007,"rock"
"121879",2007,"pop"
"121887",2007,"indie"
"121892",2007,"rock"
"121903",2007,"pop"
"121911",2006,"indie"
"121916",2006,"rock"
"121927",2006,"pop"
"121936",1999,"indie"
"121945",1999,"jazz"
"121960",1999,"pop"
"121965",1999,"rock"
"121971",1999,"hip hop"
"121997",2003,"rock"
"121998",2003,"indie"
"122002",2003,"pop"
"122042",2005,"rock"
"122043",2005,"indie"
"122047",2005,"pop"
"122087",1996,"rock"
"122088",1996,"indie"
"122092",1996,"pop"
"122118",2010,"rock"
"122127",2010,"jazz"
"122158",1978,"pop"
"122168",1978,"rock"
"122179",1978,"pop"
"122189",1978,"rock"
"122195",2002,"pop"
"122201",2002,"rock"
"122207",2007,"pop"
"122213",2007,"rock"
"122219",1999,"pop"
"122225",1999,"rock"
"122231",2003,"pop"
"122237",2003,"rock"
"122243",1999,"pop"
"122249",1999,"rock"
"122255",2008,"pop"
"122261",2008,"rock"
"122267",2002,"pop"
"122273",2002,"rock"
"122278",2004,"rock"
"122301",2004,"pop"
"122304",2009,"rock"
"122327",2009,"pop"
"122330",2004,"rock"
"122353",2004,"pop"
"122356",2009,"rock"
"122379",2009,"pop"
"122382",2002,"rock"
"122405",2002,"pop"
"122414",2007,"rock"
"122426",2007,"jazz"
"122440",2007,"rock"
"122452",2007,"jazz"
"122486",2003,"indie"
"122487",2003,"pop"
"122490",2003,"rock"
"122531",2006,"indie"
"122532",2006,"pop"
"122535",2006,"rock"
"122576",2006,"indie"
"122577",2006,"pop"
"122580",2006,"rock"
"122595",2006,"indie"
"122602",2006,"pop"
"122621",2009,"rock"
"122623",2009,"indie"
"122630",2009,"hip hop"
"122633",2009,"pop"
"122667",1995,"rock"
"122669",1995,"indie"
"122676",1995,"hip hop"
"122679",1995,"pop"
"122713",2004,"rock"
"122715",2004,"indie"
"122722",2004,"hip hop"
"122725",2004,"pop"
"122759",1995,"rock"
"122761",1995,"indie"
"122768",1995,"hip hop"
"122771",1995,"pop"
"122806",1975,"rock"
